,,,,Беларусь,,Брестская,Витебская,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
БРЮКИ МУЖСКИЕ     ,,,,65840.996895,,56883.92,68215.35,51936.07,,64665.32,,76147.0,,61969.0,,60526.16
СОРОЧКА МУЖСКАЯ,,,,33302.878941,,32102.92,33163.1,30312.25,,33765.44,,33881.0,,30175.0,,39230.48
КОСТЮМ МУЖСКОЙ СПОРТИВНЫЙ,,,,86731.44306199999,,75569.7,84327.08,73363.96,,67042.08,,97950.0,,75756.0,,108898.0
ШАПКА  МУЖСКАЯ  МЕХОВАЯ   ,,,,227400.4188745639,,166877.0,272345.0,,,155329.36,,250263.0,,,,
"СВИТЕР, ДЖЕМПЕР МУЖСКОЙ ИЗ ШЕРСТЯНОЙ ИЛИ ПОЛУШЕРСТЯНОЙ ПРЯЖИ",,,,58976.878026,,53875.66,58119.68,57233.64,,54095.72,,56452.0,,73809.0,,64589.64
"СВИТЕР, ДЖЕМПЕР МУЖСКОЙ  ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ",,,,32994.078537,,33176.12,32689.22,34322.05,,28574.44,,30762.0,,46796.0,,28578.24
МАЙКА МУЖСКАЯ,,,,7053.563590000001,,6275.68,6228.59,7196.38,,6677.2,,7424.0,,7212.0,,7542.64
ТРУСЫ МУЖСКИЕ,,,,6364.474431000001,,5137.16,7032.9,5558.35,,5966.64,,6335.0,,7511.0,,7120.88
ФУТБОЛКА МУЖСКАЯ ИЗ  ХЛОПЧАТОБУМАЖНОГО ИЛИ СМЕСОВОГО ТРИКОТАЖНОГО ПОЛОТНА,,,,20770.649882,,19786.5,14138.95,15911.04,,13216.52,,25919.0,,18388.0,,27316.48
НОСКИ МУЖСКИЕ ИЗ ХЛОПЧАТОБУМАЖНОЙ И  СМЕСОВОЙ ПРЯЖИ,,,,3364.791417,,2960.74,2756.51,2581.75,,3193.36,,4195.0,,2994.0,,3220.64
НОСКИ МУЖСКИЕ ИЗ  ПОЛУШЕРСТЯНОЙ ПРЯЖИ,,,,3778.336123,,3880.26,4031.19,3668.81,,3930.2,,3537.0,,4172.0,,3780.0
ДУБЛЕНКА МУЖСКАЯ,,,,786051.0709825985,,1050000.0,709200.0,,,651633.48,,756900.0,,,,817500.0
ШЛЯПА ИЛИ КЕПКА  МУЖСКАЯ,,,,34390.28686,,28727.04,24744.84,28802.68,,24985.2,,49406.0,,28486.0,,22870.56
ПИДЖАК МУЖСКОЙ ИЗ ПОЛУШЕРСТЯНОЙ ТКАНИ ,,,,125357.01608800002,,115186.76,118763.42,108669.16,,109377.04,,151283.0,,104289.0,,114178.72
ПАЛЬТО ЖЕНСКОЕ ЗИМНЕЕ ,,,,467882.71128700004,,464747.0,459197.36,462497.55,,412368.16,,510438.0,,443512.0,,421864.4
ДУБЛЕНКА ЖЕНСКАЯ,,,,1042072.5803784837,,1030000.0,659980.0,,,722190.68,,1220000.0,,1150000.0,,1068000.0
ПАЛЬТО ЖЕНСКОЕ ДЕМИСЕЗОННОЕ,,,,300799.409982,,322063.98,309211.12,286189.6,,268180.64,,312033.0,,288643.0,,292099.36
КУРТКА ЖЕНСКАЯ,,,,142474.014178,,155817.94,132955.63,150457.44,,147887.8,,132441.0,,149286.0,,150874.8
КОСТЮМ ЖЕНСКИЙ ИЗ ШЕРСТЯНОЙ ИЛИ ПОЛУШЕРСТЯНОЙ ТКАНИ,,,,180390.0387,,116535.0,154411.36,160238.16,,130488.44,,230000.0,,156321.0,,204876.52
КОСТЮМ ЖЕНСКИЙ ВЯЗАНЫЙ,,,,93335.634011,,96646.9,110318.77,85224.57,,91869.92,,91532.0,,96229.0,,85207.84
ПИДЖАК ЖЕНСКИЙ,,,,105458.804217,,90224.96,103419.35,81669.05,,89242.08,,131035.0,,87291.0,,101395.76
ЮБКА ЖЕНСКАЯ ,,,,65544.584071,,60202.0,61518.87,61317.75,,64040.2,,70671.0,,62471.0,,68296.32
ДЖИНСЫ ЖЕНСКИЕ,,,,90323.73307700001,,71736.78,59068.15,67491.27,,72816.0,,126625.0,,79125.0,,79891.2
