,,,,Беларусь,,Брестская,,Витебская,Гомельская,,Гродненская,г. Минск,Минская,,Могилевская
"ОБЕД В СТОЛОВОЙ (для 1 человека, из 4-х блюд)",,,,3460.4219219999995,,3265.54,,4339.55,3023.12,,3004.0,3448.0,3444.0,,3672.8
"ОБЕД В РЕСТОРАНЕ (заказной,  для 1 человека,                                       из  4-х блюд) ",,,,12438.048843,,13676.12,,14628.9,17685.35,,9529.92,10398.0,7449.0,,16691.08
"КОФЕ В ОРГАНИЗАЦИЯХ  БЫСТРОГО ОБСЛУЖИВАНИЯ              (за  0,2л)",,,,4698.9925,,1846.86,,2107.17,2333.98,,1692.84,9889.0,1827.0,,1965.12
"СОК   В ОРГАНИЗАЦИЯХ  БЫСТРОГО ОБСЛУЖИВАНИЯ                 (за  0,2л)",,,,1200.435297,,874.2,,835.19,941.49,,782.64,1836.0,791.0,,960.96
"СИГАРЕТЫ С ФИЛЬТРОМ  ОТЕЧЕСТВЕННЫЕ  (за 1 пачку,           20 штук)",,,,982.580456,,939.32,,847.69,1231.8,,914.96,1025.0,883.0,,895.2
"СИГАРЕТЫ БЕЗ ФИЛЬТРА  ОТЕЧЕСТВЕННЫЕ  (за 1 пачку,        20 штук)",,,,548.7873179999999,,547.98,,548.61,546.0,,550.0,550.0,547.0,,550.0
"СИГАРЕТЫ С ФИЛЬТРОМ ИМПОРТНЫЕ    (за 1 пачку,          20 штук)",,,,3490.301484,,3655.4,,3696.98,4598.8,,4103.6,2779.0,3441.0,,3579.04
МАЙОНЕЗ,,,,6414.954639,,6621.86,,6864.95,6187.33,,6591.84,6130.0,6378.0,,6796.92
УКСУС,,,,3110.8298460000005,,3080.6,,2939.72,3186.98,,3156.88,3147.0,3041.0,,3151.6
ГОРЧИЦА ПИЩЕВАЯ (за 100 г),,,,1055.190436,,946.52,,1231.56,947.12,,1111.24,1077.0,1049.0,,986.72
СОДА ПИЩЕВАЯ,,,,2461.4488630000005,,2337.6,,1943.98,2329.51,,2569.32,2524.0,2872.0,,2603.32
ЖЕВАТЕЛЬНАЯ  РЕЗИНКА  (за упаковку  10 штук),,,,1222.9483169999999,,1289.44,,1254.25,1139.17,,1224.2,1220.0,1179.0,,1276.48
НЕПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,
ТКАНЬ ХЛОПЧАТОБУМАЖНАЯ  ПЛАТЕЛЬНАЯ (за 1 м)  ,,,,3224.093984,,3824.58,,3128.26,2811.26,,3448.6,3028.0,2946.0,,3954.4
ТКАНЬ ШЕРСТЯНАЯ И ПОЛУШЕРСТЯНАЯ (за 1 м),,,,20923.790416,,21471.24,,19167.29,21704.92,,20412.68,22323.0,18487.0,,19737.6
ТКАНЬ  ЛЬНЯНАЯ  (за 1 м),,,,7238.07286,,6936.38,,6664.05,6910.46,,6734.76,7231.0,8622.0,,7630.16
ТКАНЬ ШЕЛКОВАЯ  (за 1 м),,,,11014.967785,,7477.58,,8412.97,10932.67,,9222.08,14891.0,10238.0,,7287.8
ПРЯЖА ШЕРСТЯНАЯ ИЛИ ПОЛУШЕРСТЯНАЯ (за 100 г),,,,8015.516390999999,,8415.48,,8209.91,6885.39,,5922.76,9596.0,5647.0,,7869.2
КУРТКА МУЖСКАЯ  ЗИМНЯЯ,,,,196980.983824,,188232.0,,242956.32,182618.0,,191859.52,203487.0,178760.0,,174124.6
ПАЛЬТО МУЖСКОЕ ДЕМИСЕЗОННОЕ,,,,273689.437553,,227013.4,,283369.07,262517.17,,260096.0,304066.0,228445.0,,282818.32
КУРТКА МУЖСКАЯ  ИЗ ПЛАЩЕВОЙ ТКАНИ  ,,,,143589.469433,,144200.6,,128034.39,118615.33,,115731.92,185996.0,90000.0,,131402.0
КОСТЮМ МУЖСКОЙ,,,,233325.724554,,211788.48,,204476.07,192620.74,,210985.36,279378.0,214149.0,,225533.04
ДЖИНСЫ МУЖСКИЕ,,,,80497.352948,,82358.94,,57095.51,73842.7,,79360.0,88323.0,81813.0,,86803.76
БРЮКИ МУЖСКИЕ     ,,,,65272.926155999994,,55570.52,,69573.82,51497.76,,61585.56,75532.0,61736.0,,60433.2
СОРОЧКА МУЖСКАЯ,,,,33112.25328700001,,32334.74,,33163.1,30267.73,,33464.16,33129.0,31069.0,,39044.0
КОСТЮМ МУЖСКОЙ СПОРТИВНЫЙ,,,,84623.982058,,73899.98,,84327.08,70649.4,,69162.96,95682.0,72229.0,,103002.0
ШАПКА  МУЖСКАЯ  МЕХОВАЯ   ,,,,200984.946464432,,166877.0,,123237.8,,,155329.36,250263.0,,,
"СВИТЕР, ДЖЕМПЕР МУЖСКОЙ ИЗ ШЕРСТЯНОЙ ИЛИ ПОЛУШЕРСТЯНОЙ ПРЯЖИ",,,,58546.054516000004,,57238.08,,58125.41,57233.64,,51120.76,54423.0,73573.0,,66569.2
"СВИТЕР, ДЖЕМПЕР МУЖСКОЙ  ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ",,,,33053.318913,,35735.42,,31039.24,35443.31,,27877.6,30762.0,45868.0,,28578.24
МАЙКА МУЖСКАЯ,,,,6978.417987999999,,6227.22,,6376.82,7177.3,,6430.48,7265.0,7143.0,,7542.64
ТРУСЫ МУЖСКИЕ,,,,6210.717938999999,,5121.76,,6508.88,5426.11,,5883.76,6335.0,6904.0,,7111.36
ФУТБОЛКА МУЖСКАЯ ИЗ  ХЛОПЧАТОБУМАЖНОГО ИЛИ СМЕСОВОГО ТРИКОТАЖНОГО ПОЛОТНА,,,,17368.711836,,19134.14,,14741.78,15693.02,,13100.4,18736.0,16476.0,,20741.2
НОСКИ МУЖСКИЕ ИЗ ХЛОПЧАТОБУМАЖНОЙ И  СМЕСОВОЙ ПРЯЖИ,,,,3370.950777,,2918.7,,2854.82,2563.63,,3185.52,4195.0,3021.0,,3213.92
НОСКИ МУЖСКИЕ ИЗ  ПОЛУШЕРСТЯНОЙ ПРЯЖИ,,,,3659.559489,,3783.9,,4031.19,3673.23,,3925.16,3325.0,4117.0,,3495.68
ДУБЛЕНКА МУЖСКАЯ,,,,777604.833552,,1050000.0,,709200.0,700000.0,,651633.48,756900.0,810000.0,,817500.0
ШЛЯПА ИЛИ КЕПКА  МУЖСКАЯ,,,,33690.909687,,28616.82,,25608.69,28698.93,,24597.68,46474.0,28075.0,,25844.08
ПИДЖАК МУЖСКОЙ ИЗ ПОЛУШЕРСТЯНОЙ ТКАНИ ,,,,126638.652958,,120218.98,,119122.22,108669.16,,109377.04,153654.0,107884.0,,109438.72
ПАЛЬТО ЖЕНСКОЕ ЗИМНЕЕ ,,,,519886.801199,,451373.0,,459224.89,462497.55,,414416.08,660420.0,427571.0,,454411.2
ДУБЛЕНКА ЖЕНСКАЯ,,,,987862.2277919999,,1030000.0,,745392.2,730000.0,,722190.68,1220000.0,925000.0,,1068000.0
ПАЛЬТО ЖЕНСКОЕ ДЕМИСЕЗОННОЕ,,,,299623.40083700005,,316532.86,,312127.18,269753.27,,268180.64,312509.0,295054.0,,295190.56
КУРТКА ЖЕНСКАЯ,,,,143726.097179,,156067.0,,130278.28,144220.15,,152077.4,130112.0,161818.0,,164226.72
КОСТЮМ ЖЕНСКИЙ ИЗ ШЕРСТЯНОЙ ИЛИ ПОЛУШЕРСТЯНОЙ ТКАНИ,,,,180964.259191,,117810.0,,150700.53,160036.23,,121757.76,230000.0,187078.0,,189590.68
КОСТЮМ ЖЕНСКИЙ ВЯЗАНЫЙ,,,,91500.15484299998,,96646.9,,107199.26,85173.69,,91834.64,83198.0,104766.0,,89813.92
ПИДЖАК ЖЕНСКИЙ,,,,101750.390758,,84724.0,,99227.18,81580.54,,89946.4,123644.0,84939.0,,102404.96
ЮБКА ЖЕНСКАЯ ,,,,66136.906606,,59889.8,,63524.25,60638.82,,63050.36,71253.0,66257.0,,67938.48
ДЖИНСЫ ЖЕНСКИЕ,,,,89758.532435,,70685.0,,58858.8,67181.75,,70042.8,126625.0,78938.0,,78817.68
БЛУЗКА ЖЕНСКАЯ,,,,66337.796421,,55559.0,,63639.42,55582.17,,60277.12,74383.0,66766.0,,71961.68
ПЛАТЬЕ ЖЕНСКОЕ ИЗ ПОЛУШЕРСТЯНОЙ  ТКАНИ,,,,61727.022899441334,,61558.68,,54774.87,70194.99,,79132.6,51713.0,76390.0,,
