,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,,Могилевская
БАНАНЫ,,,,4892.341690000001,,4804.68,,4624.8,,4867.04,,5286.55,,4665.0,5069.0,,5277.49
СУХОФРУКТЫ,,,,12397.634190000002,,9707.56,,11849.36,,12012.64,,13171.19,,12545.0,13859.0,,13637.46
ОРЕХИ,,,,15984.621924000001,,11078.16,,15564.08,,14589.08,,11212.5,,19635.0,15948.0,,20003.59
ФРУКТЫ КОНСЕРВИРОВАННЫЕ,,,,8535.489760000002,,7424.86,,8597.76,,8647.12,,8526.47,,8860.0,8763.0,,8549.55
КОНСЕРВЫ  ФРУКТОВЫЕ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО  ПИТАНИЯ,,,,7885.9882640000005,,7607.5,,7914.2,,7301.54,,7152.96,,8206.0,8303.0,,8297.27
"СОК, НЕКТАР ФРУКТОВЫЙ,  ЯГОДНЫЙ",,,,3597.6686800000007,,3346.16,,3463.44,,3493.92,,3363.36,,4083.0,3394.0,,3485.1
НАПИТКИ БЕЗАЛКОГОЛЬНЫЕ ,,,,1692.8744100000004,,1572.34,,1447.4,,1418.02,,1910.37,,1974.0,1720.0,,1502.55
ВОДА МИНЕРАЛЬНАЯ ,,,,1031.2731800000004,,1012.2,,1121.24,,1033.02,,1100.91,,1011.0,964.0,,1028.24
"ОБЕД В СТОЛОВОЙ (для 1 человека, из 4-х блюд)",,,,3722.0987100000007,,3894.96,,4458.64,,3296.6,,3418.09,,3762.0,3318.0,,4017.24
"ОБЕД В РЕСТОРАНЕ    (заказной, для 1 человека,                  из   4-х блюд) ",,,,12431.005962000001,,14260.0,,15795.2,,17425.92,,9290.31,,9638.0,7653.0,,17031.78
"КОФЕ  В   ОРГАНИЗАЦИЯХ   БЫСТРОГО  ОБСЛУЖИВАНИЯ  (за 0,2л)",,,,3796.6427420000005,,1819.1,,2124.88,,2584.98,,1415.97,,8361.0,2385.0,,2482.75
"СОК   В  ОРГАНИЗАЦИЯХ   БЫСТРОГО  ОБСЛУЖИВАНИЯ   (за 0,2л)",,,,1095.90336,,889.12,,828.32,,977.08,,950.3,,1576.0,914.0,,992.6
"СИГАРЕТЫ  С  ФИЛЬТРОМ   ОТЕЧЕСТВЕННЫЕ                      (за 1 пачку, 20 штук)",,,,1147.2101420000004,,984.92,,913.52,,1388.12,,1169.67,,1171.0,1193.0,,1149.75
"СИГАРЕТЫ  БЕЗ  ФИЛЬТРА   ОТЕЧЕСТВЕННЫЕ                       (за 1 пачку, 20 штук)",,,,692.1132460000001,,685.46,,694.88,,678.68,,700.0,,700.0,683.0,,700.0
"СИГАРЕТЫ   С   ФИЛЬТРОМ    ИМПОРТНЫЕ                                 (за 1 пачку, 20 штук)",,,,3907.5965200000005,,3889.84,,3877.68,,4533.3,,4009.57,,3038.0,4321.0,,4684.56
МАЙОНЕЗ,,,,7063.997918,,6779.58,,7517.04,,6753.68,,7281.34,,6805.0,7181.0,,7593.57
УКСУС ,,,,3373.5704340000007,,3193.52,,3421.48,,3351.26,,3362.18,,3500.0,3298.0,,3368.49
ГОРЧИЦА ПИЩЕВАЯ (за 100 г),,,,1111.2178520000002,,994.0,,1246.32,,1036.88,,1102.24,,1156.0,1149.0,,1039.0
СОДА ПИЩЕВАЯ,,,,3044.1019380000007,,2944.44,,3155.24,,2955.86,,3145.9,,2738.0,3652.0,,2961.59
ЖЕВАТЕЛЬНАЯ  РЕЗИНКА  (за упаковку 10 штук),,,,1303.0028160000004,,1359.28,,1325.64,,1231.2,,1294.42,,1247.0,1372.0,,1355.36
НЕПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,
ТКАНЬ ХЛОПЧАТОБУМАЖНАЯ  ПЛАТЕЛЬНАЯ (за 1 м)  ,,,,3687.7029400000006,,3890.82,,3996.64,,3348.06,,3650.62,,3491.0,3623.0,,4172.36
ТКАНЬ ШЕРСТЯНАЯ И ПОЛУШЕРСТЯНАЯ (за 1 м),,,,22390.507362,,23230.88,,20247.32,,23257.92,,20686.47,,24543.0,20062.0,,22210.76
ТКАНЬ  ЛЬНЯНАЯ  (за 1 м),,,,8058.610242000001,,7776.58,,7750.16,,7731.4,,7124.82,,8609.0,8225.0,,8494.7
ТКАНЬ ШЕЛКОВАЯ  (за 1 м),,,,11732.919740000001,,8216.36,,9189.84,,12410.74,,8482.55,,16531.0,12533.0,,7891.49
ПРЯЖА ШЕРСТЯНАЯ ИЛИ ПОЛУШЕРСТЯНАЯ (за 100 г),,,,8739.532224,,9330.04,,7674.04,,8056.52,,6753.62,,10070.0,8275.0,,9401.09
КУРТКА МУЖСКАЯ  ЗИМНЯЯ,,,,217915.795772,,226401.96,,226666.88,,212484.26,,206060.39,,229286.0,215333.0,,190558.11
ПАЛЬТО МУЖСКОЕ ДЕМИСЕЗОННОЕ,,,,281253.65046800004,,270850.68,,319910.48,,281765.46,,272950.57,,263995.0,310078.0,,260029.43
КУРТКА МУЖСКАЯ  ИЗ ПЛАЩЕВОЙ ТКАНИ  ,,,,139380.34046000004,,135215.44,,135534.68,,135543.14,,133483.37,,163125.0,103750.0,,150652.07
КОСТЮМ МУЖСКОЙ,,,,246355.477336,,225788.44,,239407.8,,219734.34,,226511.25,,288220.0,234388.0,,244919.73
ДЖИНСЫ МУЖСКИЕ,,,,87020.75428000002,,86700.98,,71483.24,,92124.42,,91752.0,,86063.0,93614.0,,86638.13
БРЮКИ МУЖСКИЕ     ,,,,71687.18146,,59897.46,,76574.28,,61250.16,,73338.07,,84105.0,68877.0,,64940.52
СОРОЧКА МУЖСКАЯ,,,,37853.20152200001,,35812.7,,41778.12,,34288.98,,38848.83,,37250.0,37851.0,,41199.66
КОСТЮМ МУЖСКОЙ СПОРТИВНЫЙ,,,,98515.39339200001,,84884.12,,109868.72,,90325.64,,83553.94,,108455.0,96574.0,,105856.51
ШАПКА  МУЖСКАЯ  МЕХОВАЯ   ,,,,241288.54649087673,,232532.52,,271534.04,,241935.58,,156399.94,,264690.0,242180.0,,
"СВИТЕР, ДЖЕМПЕР МУЖСКОЙ ИЗ ШЕРСТЯНОЙ ИЛИ ПОЛУШЕРСТЯНОЙ ПРЯЖИ",,,,68898.64918400001,,62189.06,,65102.88,,63417.18,,63624.18,,71024.0,80835.0,,71544.21
"СВИТЕР, ДЖЕМПЕР МУЖСКОЙ  ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ",,,,41132.804456000005,,45074.24,,40272.48,,41508.64,,34906.04,,36222.0,52505.0,,39178.63
МАЙКА МУЖСКАЯ,,,,7561.346588000001,,6590.46,,7099.52,,7904.82,,7280.96,,7936.0,7732.0,,7929.88
ТРУСЫ МУЖСКИЕ,,,,7217.8835260000005,,6214.22,,7408.72,,6720.6,,6616.82,,7450.0,8376.0,,7248.29
ФУТБОЛКА МУЖСКАЯ ИЗ  ХЛОПЧАТОБУМАЖНОГО ИЛИ СМЕСОВОГО ТРИКОТАЖНОГО ПОЛОТНА,,,,21455.14498,,21239.4,,17332.64,,17488.64,,14159.28,,26730.0,23380.0,,22766.9
НОСКИ МУЖСКИЕ ИЗ ХЛОПЧАТОБУМАЖНОЙ И  СМЕСОВОЙ ПРЯЖИ,,,,3690.568824000001,,3323.36,,3109.6,,3071.56,,3806.84,,4509.0,3599.0,,3540.98
НОСКИ МУЖСКИЕ ИЗ  ПОЛУШЕРСТЯНОЙ ПРЯЖИ,,,,4307.339026000001,,4417.34,,4287.64,,4260.6,,4149.7,,4099.0,4622.0,,4497.99
ДУБЛЕНКА МУЖСКАЯ,,,,889303.408194,,1100400.26,,743938.6,,1001460.0,,677957.34,,820909.0,970000.0,,918391.89
