,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
"СОК, НЕКТАР ФРУКТОВЫЙ,  ЯГОДНЫЙ",,,,9911.102877000001,,9489.7,,9810.7,,10126.65,,9439.0,,10375.0,,9639.0,,9918.36
"СОК, НЕКТАР ОВОЩНОЙ, ПЛОДООВОЩНОЙ (л)",,,,10768.150905,,10165.5,,10157.0,,9658.15,,10233.88,,12152.0,,10431.0,,10946.87
НАПИТКИ БЕЗАЛКОГОЛЬНЫЕ ,,,,5481.671048000001,,4693.96,,4677.1,,4918.7,,5525.32,,6820.0,,5421.0,,4529.67
ВОДА МИНЕРАЛЬНАЯ ,,,,3401.8513430000003,,3362.55,,3878.9,,3554.85,,3438.36,,3050.0,,3497.0,,3474.58
КВАС (л),,,,5616.958180999999,,5325.68,,5403.7,,5717.85,,5972.0,,5419.0,,6163.0,,5512.68
"ОБЕД В СТОЛОВОЙ (для 1 человека, из 4-х блюд)",,,,12526.886820999998,,14361.53,,14891.3,,10567.15,,10055.64,,12028.0,,13105.0,,13011.44
"ОБЕД В РЕСТОРАНЕ    (заказной, для 1 человека,                  из   4-х блюд) ",,,,41905.072404,,43523.23,,57811.3,,58681.2,,26609.16,,30268.0,,31705.0,,62422.21
"КОФЕ  В   ОРГАНИЗАЦИЯХ   БЫСТРОГО  ОБСЛУЖИВАНИЯ  (за 0,2л)",,,,11007.347339,,5878.88,,6652.2,,9896.45,,5609.56,,21610.0,,5947.0,,8051.31
"СОК   В  ОРГАНИЗАЦИЯХ   БЫСТРОГО  ОБСЛУЖИВАНИЯ   (за 0,2л)",,,,3875.7759029999997,,3157.36,,3427.3,,3856.95,,3009.52,,5550.0,,3257.0,,2546.22
"СИГАРЕТЫ  С  ФИЛЬТРОМ   ОТЕЧЕСТВЕННЫЕ                      (за 1 пачку, 20 штук)",,,,3937.9199099999996,,3214.86,,3308.1,,4341.5,,3133.08,,5323.0,,3219.0,,3178.02
"СИГАРЕТЫ  БЕЗ  ФИЛЬТРА   ОТЕЧЕСТВЕННЫЕ                       (за 1 пачку, 20 штук)",,,,1524.2229239999997,,1529.26,,1500.0,,1542.2,,1524.64,,1500.0,,1593.0,,1492.78
"СИГАРЕТЫ   С   ФИЛЬТРОМ    ИМПОРТНЫЕ                                 (за 1 пачку, 20 штук)",,,,13284.795052,,13680.89,,11140.5,,14997.5,,13672.56,,12660.0,,13219.0,,14615.4
МАЙОНЕЗ,,,,23489.44363,,25748.18,,24791.7,,23007.2,,24961.72,,21436.0,,22593.0,,24966.43
УКСУС ,,,,8895.425684,,8341.82,,8935.8,,9720.6,,8415.08,,8494.0,,10173.0,,8317.84
ГОРЧИЦА ПИЩЕВАЯ (за 100 г),,,,2806.408653,,3111.38,,3112.2,,2529.95,,2682.6,,2831.0,,2674.0,,2643.39
СОДА ПИЩЕВАЯ,,,,14018.353075,,13287.13,,14185.5,,12915.65,,15689.2,,13323.0,,15630.0,,14000.6
ЖЕВАТЕЛЬНАЯ  РЕЗИНКА  (за упаковку 10 штук),,,,4385.579226,,4498.71,,4350.0,,4440.4,,4284.44,,4269.0,,4372.0,,4667.04
НЕПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ТКАНЬ ХЛОПЧАТОБУМАЖНАЯ  ПЛАТЕЛЬНАЯ (за 1 м)  ,,,,16963.648074999997,,16721.75,,16393.3,,16618.05,,14305.76,,15953.0,,19846.0,,20037.34
ТКАНЬ  ШЕРСТЯНАЯ  И  ПОЛУШЕРСТЯНАЯ                 (ширина 150 см) - за 1 м,,,,79589.268171,,50618.8,,74038.3,,68746.15,,65995.8,,109863.0,,65735.0,,88553.78
ТКАНЬ ЛЬНЯНАЯ (ширина 150 см) - за 1 м,,,,36745.362468,,31989.39,,35015.3,,33980.6,,31818.4,,40578.0,,42525.0,,35068.29
ТКАНЬ ШЕЛКОВАЯ (ширина 100 см) - за 1  м,,,,35200.795744,,22182.95,,30867.4,,34663.3,,26862.36,,46202.0,,38434.0,,32021.46
ПРЯЖА ШЕРСТЯНАЯ ИЛИ ПОЛУШЕРСТЯНАЯ (за 100 г),,,,33021.011849999995,,34379.03,,33956.3,,28814.8,,24685.6,,35808.0,,34206.0,,35161.0
КУРТКА ЗИМНЯЯ МУЖСКАЯ  ,,,,1022724.6401,,975354.89,,1034240.0,,781727.5,,842461.2,,1365540.0,,769810.0,,983771.5
ПАЛЬТО ДЕМИСЕЗОННОЕ МУЖСКОЕ,,,,1230842.060971,,1249814.55,,1037599.8,,1220041.55,,1059725.52,,1268127.0,,1513200.0,,1136000.51
КУРТКА   ИЗ ПЛАЩЕВОЙ ТКАНИ МУЖСКАЯ  ,,,,617062.6459860001,,535803.19,,522353.5,,528032.3,,511593.08,,864017.0,,488727.0,,564434.85
КОСТЮМ МУЖСКОЙ,,,,958673.878075,,780766.37,,753230.7,,744692.65,,764642.56,,1493431.0,,724173.0,,775111.94
ДЖИНСЫ МУЖСКИЕ,,,,329854.344498,,293925.99,,323115.0,,291538.3,,300281.44,,360692.0,,350446.0,,351458.05
БРЮКИ МУЖСКИЕ     ,,,,255331.521369,,204087.78,,268663.8,,215179.25,,235809.4,,326029.0,,233570.0,,212791.82
СОРОЧКА МУЖСКАЯ,,,,176219.99876800002,,146289.51,,147407.1,,150158.6,,163697.52,,249600.0,,136989.0,,149442.47
