,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
БРЮКИ МУЖСКИЕ     ,,,,72851.39149600001,,62317.34,,79751.64,,61767.66,,76734.42,,84105.0,,69057.0,,65219.91
СОРОЧКА МУЖСКАЯ,,,,38216.113414000014,,36061.2,,40883.24,,34593.9,,42545.16,,37080.0,,38145.0,,41310.88
КОСТЮМ МУЖСКОЙ СПОРТИВНЫЙ,,,,98673.26673600002,,85869.98,,106471.04,,90325.64,,88902.29,,105742.0,,97999.0,,109609.85
ШАПКА  МУЖСКАЯ  МЕХОВАЯ   ,,,,287005.63272291084,,288783.0,,382587.56,,381880.0,,165970.24,,242495.0,,,,
"СВИТЕР, ДЖЕМПЕР МУЖСКОЙ ИЗ ШЕРСТЯНОЙ ИЛИ ПОЛУШЕРСТЯНОЙ ПРЯЖИ",,,,69991.446194,,62174.36,,64713.2,,64084.4,,65647.45,,71012.0,,81280.0,,79215.63
"СВИТЕР, ДЖЕМПЕР МУЖСКОЙ  ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ",,,,40593.80156800001,,44406.34,,40540.16,,41673.64,,34959.17,,37604.0,,50660.0,,33210.85
МАЙКА МУЖСКАЯ,,,,7670.408656000001,,6607.62,,7378.2,,8066.46,,7298.9,,7936.0,,8039.0,,7975.44
ТРУСЫ МУЖСКИЕ,,,,7341.572846000001,,6265.0,,7539.28,,6848.32,,6663.05,,7438.0,,8882.0,,7324.0
ФУТБОЛКА МУЖСКАЯ ИЗ  ХЛОПЧАТОБУМАЖНОГО ИЛИ СМЕСОВОГО ТРИКОТАЖНОГО ПОЛОТНА,,,,21289.586860000003,,21581.04,,17960.92,,17625.26,,13907.43,,25796.0,,23003.0,,23033.56
НОСКИ МУЖСКИЕ ИЗ ХЛОПЧАТОБУМАЖНОЙ И  СМЕСОВОЙ ПРЯЖИ,,,,3728.947216,,3381.86,,3066.88,,3119.3,,3806.7,,4602.0,,3609.0,,3574.48
НОСКИ МУЖСКИЕ ИЗ  ПОЛУШЕРСТЯНОЙ ПРЯЖИ,,,,4306.920272000001,,4211.42,,4305.92,,4278.42,,4259.62,,4181.0,,4488.0,,4579.1
ДУБЛЕНКА МУЖСКАЯ,,,,862186.6578711095,,1135600.26,,713938.36,,,,677957.34,,820909.0,,883333.0,,954691.89
ШЛЯПА ИЛИ КЕПКА  МУЖСКАЯ,,,,32174.319348,,29372.38,,27782.72,,32072.4,,28280.13,,40837.0,,26805.0,,30252.65
ПИДЖАК МУЖСКОЙ ИЗ ПОЛУШЕРСТЯНОЙ ТКАНИ ,,,,137294.29080400002,,115969.4,,144623.84,,125319.12,,114753.32,,175944.0,,123738.0,,114048.1
ПАЛЬТО ЖЕНСКОЕ ЗИМНЕЕ ,,,,559986.346692,,557413.16,,668287.92,,566720.0,,482747.56,,592272.0,,446442.0,,589901.12
ДУБЛЕНКА ЖЕНСКАЯ,,,,1250048.022216823,,1258999.74,,1739241.0,,,,772705.3,,1345000.0,,1150000.0,,1059194.0
ПАЛЬТО ЖЕНСКОЕ ДЕМИСЕЗОННОЕ,,,,347801.3284360001,,358598.16,,362716.64,,338667.86,,312052.65,,369738.0,,342285.0,,316617.35
