,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ОГУРЦЫ СВЕЖИЕ,,,,41182.371488,,37131.04,,39350.68,,39457.509999999995,,41729.94,,45111,,40275,,41114.8
ЧЕСНОК,,,,61790.613864,,61312.600000000006,,60556.729999999996,,60715.53,,58822.36,,65088,,60712,,61403
ПЕРЕЦ СЛАДКИЙ,,,,43062.680324,,39968.8,,42555.35,,47495.46,,37808.28,,46884,,40287,,41383.9
ОВОЩИ ЗАМОРОЖЕННЫЕ,,,,37907.779912000005,,35722.8,,36662.22,,36754.9,,31592.32,,43613,,37732,,35758.55
ОВОЩИ КОНСЕРВИРОВАННЫЕ,,,,31740.470824000004,,28582.480000000003,,33269.42,,27578.84,,31233.640000000003,,34157,,34606,,29439.25
СОУС ТОМАТНЫЙ,,,,31572.819048,,32452.280000000002,,33029.96,,33053.15,,31027.120000000003,,30405,,32684,,28856.8
ЯБЛОКИ,,,,13244.85952,,12989.6,,14066.239999999998,,14347.119999999999,,9865.18,,14433,,12805,,12325.7
"ПЛОДЫ ЦИТРУСОВЫЕ  (апельсины, лимоны, мандарины)",,,,30162.110063999997,,28085.559999999998,,32989.1,,30913.36,,27966.16,,32394,,30141,,25056.55
ВИНОГРАД,,,,34691.827632,,38444.759999999995,,37872.96,,37038.22,,40112.98,,28528,,33202,,35662.7
БАНАНЫ,,,,20218.783588000002,,19681.079999999998,,21793.839999999997,,20926.88,,19697.54,,21246,,18490,,18535.55
СУХОФРУКТЫ,,,,94777.522412,,82314.51999999999,,85471.60999999999,,67084.31999999999,,87264.06,,106208,,114394,,107115.20000000001
ОРЕХИ,,,,149236.87651200002,,144130.16,,205549.26,,107713.62,,111993.08,,166257,,146502,,144324.95
ФРУКТЫ КОНСЕРВИРОВАННЫЕ,,,,46988.86168,,45182.03999999999,,47204.38,,44355.36,,44164.060000000005,,52072,,45296,,44718.1
КОНСЕРВЫ  ФРУКТОВЫЕ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО  ПИТАНИЯ,,,,58434.633387999995,,53203.159999999996,,50351.49,,45674.96,,51551.5,,78177,,54965,,52191.05
"СОК, НЕКТАР ФРУКТОВЫЙ,  ЯГОДНЫЙ",,,,15873.755012,,15390,,15722.869999999999,,15299.97,,14620.600000000002,,18114,,15078,,14084.400000000001
"СОК, НЕКТАР ОВОЩНОЙ, ПЛОДООВОЩНОЙ (л)",,,,16590.40708,,15897.92,,16540.27,,14844.990000000002,,17086.42,,18340,,16448,,14936.400000000001
НАПИТКИ БЕЗАЛКОГОЛЬНЫЕ ,,,,9020.93504,,8198.56,,7625.73,,8637.99,,9534.54,,10243,,9238,,8124.049999999999
ВОДА МИНЕРАЛЬНАЯ ,,,,6520.068464000001,,5540.04,,7136.46,,5379.53,,5932.18,,6130,,8417,,7392.1
КВАС (л),,,,9112.974248,,9062.8,,9034.59,,8847.35,,8942.78,,9474,,8754,,9380.7
"ОБЕД В СТОЛОВОЙ (для 1 человека, из 4-х блюд)",,,,25066.742452,,23012.92,,26292.46,,21802.64,,20843.84,,32595,,21514,,20613.95
"ОБЕД В РЕСТОРАНЕ    (заказной, для 1 человека,                  из   4-х блюд) ",,,,83217.739544,,85250.88,,80054.47,,121495.26000000001,,69597.12000000001,,69573,,63649,,112460.6
"КОФЕ  В   ОРГАНИЗАЦИЯХ   БЫСТРОГО  ОБСЛУЖИВАНИЯ  (за 0,2л)",,,,23352.227644,,14362.720000000001,,11008.98,,17053.03,,8073.220000000001,,46204,,17480,,22580.6
"СОК   В  ОРГАНИЗАЦИЯХ   БЫСТРОГО  ОБСЛУЖИВАНИЯ   (за 0,2л)",,,,6159.623971999999,,5463.76,,5811.469999999999,,6649.469999999999,,4171.08,,8243,,4780,,5503.05
"СИГАРЕТЫ  С  ФИЛЬТРОМ   ОТЕЧЕСТВЕННЫЕ                      (за 1 пачку, 20 штук)",,,,9022.399084,,8416.2,,8444.59,,9799.539999999999,,8700.300000000001,,9620,,9120,,8074
"СИГАРЕТЫ  БЕЗ  ФИЛЬТРА   ОТЕЧЕСТВЕННЫЕ                       (за 1 пачку, 20 штук)",,,,5408.207016,,5475.44,,5673.07,,5469.4,,5227.280000000001,,5269,,5625,,5177.3
"СИГАРЕТЫ   С   ФИЛЬТРОМ    ИМПОРТНЫЕ                                 (за 1 пачку, 20 штук)",,,,23873.861236,,21789.04,,22071.78,,24629.870000000003,,24134.760000000002,,25442,,22551,,25119.050000000003
МАЙОНЕЗ,,,,38782.563288,,38673.08,,39908.02,,39082.72,,39730.3,,37717,,39057,,38574.05
УКСУС ,,,,12544.581188,,11616.32,,13496.44,,11371.95,,11718.34,,13760,,12329,,12168.8
ГОРЧИЦА ПИЩЕВАЯ (за 100 г),,,,4973.47376,,4650.24,,5198.37,,4472.41,,4893.96,,5441,,4874,,4786.4
СОДА ПИЩЕВАЯ,,,,20115.541016,,19520.76,,21587.649999999998,,19974.85,,22368.34,,19016,,20764,,18837.25
"ПЕРЕЦ ЧЕРНЫЙ, КРАСНЫЙ, ДУШИСТЫЙ (молотый, горошек)  (50 г)",,,,30326.975035999996,,26979.96,,26438.32,,35014.34,,28122.300000000003,,34207,,27484,,29237
ЖЕВАТЕЛЬНАЯ  РЕЗИНКА  (за упаковку 10 штук),,,,6087.230752,,5721.280000000001,,6300.829999999999,,5654.26,,6076.8,,6485,,6029,,5923.9
НЕПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ТКАНЬ ХЛОПЧАТОБУМАЖНАЯ  ПЛАТЕЛЬНАЯ (за 1 м)  ,,,,25443.750824,,25744.04,,21988.97,,24936.739999999998,,21356.520000000004,,24040,,35166,,23614
ТКАНЬ  ШЕРСТЯНАЯ  И  ПОЛУШЕРСТЯНАЯ                 (ширина 150 см) - за 1 м,,,,148978.304656,,139905.32,,118660.25999999998,,146147.54,,134480.78000000003,,158982,,136487,,206599.5
ТКАНЬ ЛЬНЯНАЯ (ширина 150 см) - за 1 м,,,,65099.735852,,60630.159999999996,,53872.06,,60944.549999999996,,60238.3,,78755,,62072,,63251.95
ТКАНЬ ШЕЛКОВАЯ (ширина 100 см) - за 1  м,,,,60393.45484,,43119.96,,40404.59,,64674.479999999996,,53198.700000000004,,78919,,53857,,68375.5
ПРЯЖА ШЕРСТЯНАЯ ИЛИ ПОЛУШЕРСТЯНАЯ (за 100 г),,,,43781.97984,,43747.8,,44815.34,,48511.880000000005,,42750.72,,40882,,46369,,41286.350000000006
КУРТКА ЗИМНЯЯ МУЖСКАЯ  ,,,,1321532.6012199998,,1149071.52,,1431574.42,,1318840.81,,1369683.3,,1309099,,1407595,,1266340.0499999998
ПАЛЬТО (ПОЛУПАЛЬТО) ДЕМИСЕЗОННОЕ МУЖСКОЕ,,,,1562904.429584,,1547770.56,,1623950.5,,1462974.38,,1564441.34,,1650450,,1615736,,1336853.25
КУРТКА   ИЗ ПЛАЩЕВОЙ ТКАНИ МУЖСКАЯ  ,,,,803856.4571708111,,690148.2,,910853.5099999999,,966788.59,,879198.0800000001,,,,628779,,780612.4
КОСТЮМ МУЖСКОЙ,,,,1455475.091392,,1459928.24,,1235319.54,,1367411.57,,1317700.82,,1823655,,1229348,,1341520.7999999998
ДЖИНСЫ МУЖСКИЕ,,,,490009.73522399995,,485217.24,,424813.68999999994,,467314.78,,448488.48000000004,,544249,,477855,,522471.65
БРЮКИ МУЖСКИЕ     ,,,,434803.150332,,377412.56,,419636.32999999996,,415224.02,,396165.98,,529548,,386918,,414022.15
СОРОЧКА ВЕРХНЯЯ МУЖСКАЯ,,,,313803.46818799997,,285221.95999999996,,273646.93999999994,,270334.07,,297767.54000000004,,403253,,250358,,329945.5
